date,volume_scaled,return_lag_10_scaled,price_to_sma_5_scaled,price_to_sma_50_scaled,macd_scaled,bb_bandwidth_scaled,bb_percent_scaled,parkinson_vol_5_scaled,parkinson_vol_10_scaled,parkinson_vol_20_scaled,gk_vol_10_scaled,gk_vol_20_scaled,atr_14_scaled,avg_volume_5_scaled,avg_volume_10_scaled,avg_volume_20_scaled,price_to_vwap_scaled,obv_scaled,daily_range_scaled,close_to_low_scaled
2017-03-15,0.0451270045254242,0.8070962389933118,-0.1227048620094333,-0.1767814930615535,-0.2225734628974467,-1.3182712439863151,0.0681472497714557,-0.868729272533569,-0.8319242650890469,-0.9224002817512086,-0.822396616891796,-0.8835223786040678,-0.950210898089028,-0.4992460872620564,-0.5687405044973946,-0.621965850066184,-0.1561958233836826,-1.631468316740302,-0.5391720312998278,-0.030734082543139
2017-03-16,-0.3077034002180007,-0.921164158452533,-0.1984146753853075,-0.2151389225526358,-0.2261504178392208,-1.3168403324079767,-0.1454582373977695,-0.9488512454452016,-0.897591238160378,-0.9197087409541364,-0.8550940973053115,-0.8806719142535241,-0.952901641573524,-0.483983389019895,-0.6091984762187869,-0.6002015030573952,-0.2330227503175016,-1.644742292366403,-0.8255241006397083,-0.2981827477005155
2017-03-17,2.113665763278324,0.1497532383166088,0.000813152080156,-0.1742734592034103,-0.2253091275520625,-1.305412399807354,0.2232068342538726,-0.9341810977285322,-0.9142591182629726,-0.940371576779362,-0.8688390590031538,-0.90508217727198,-0.9524986001475034,0.0634725359042295,-0.2838453337994623,-0.4301167881349875,-0.0637312855983052,-1.6131406856312775,-0.6939802930124307,-0.5501530036144443
2017-03-20,-0.8231182590476676,-0.0525293877997386,0.0138763983016787,-0.1745549298497986,-0.2242457257564866,-1.291840234289721,0.2760059870492352,-0.9824854631488876,-0.9604518865889812,-0.9367355263762004,-0.9186693721251352,-0.8987893194010854,-0.9526331580401896,-0.0380064241665229,-0.3273062786631379,-0.4695673734696341,-0.0360837188816227,-1.6037679463565555,-0.8295845280265157,-0.5172204353477411
2017-03-21,0.1983806869992662,0.0482689822264279,-0.5458556230609295,-0.3557261490852784,-0.2378422290563892,-1.2812612352228028,-0.9077385962172028,-0.5884014700203505,-0.7791617864952883,-0.8382543567988154,-0.7851682672359799,-0.8260801878176078,-0.9477898293030752,0.1899712544831294,-0.2423197313338633,-0.4340679564167334,-0.5820100723340034,-1.620872532614235,0.4172118352953686,-0.7313597161638073
2017-03-22,-0.3072198965980855,0.4667641727824709,0.0829273390003472,-0.1726227285761523,-0.233506209747891,-1.264983820850283,0.3572789332802009,-0.4798076924611643,-0.7411494146436861,-0.7857995239360978,-0.7662663034163764,-0.8038953637343644,-0.9483278687046882,0.1133571203945615,-0.2510167351119154,-0.4258387779791622,0.0725407176322601,-1.6075948972917444,-0.0599151384521595,0.656528964622548
2017-03-23,-0.4268912837869361,-0.3071568623695365,-0.086576241945804,-0.2237263711741518,-0.2337920520848859,-1.2579229949244766,0.076807977715954,-0.4787338453388991,-0.7730788255166264,-0.7899582841182375,-0.7875644310304957,-0.807587360513497,-0.9508839996806858,0.0874409665576298,-0.2570624558751876,-0.4317937064254087,-0.0914929864792282,-1.619966725655194,-0.8165580816638097,-0.6995670577549723
2017-03-24,-0.1429050085037259,0.1109851654917421,-0.0142859466151713,-0.2079492944381022,-0.2325649749065072,-1.2455742204339972,0.2009661591124066,-0.451115982342873,-0.7501648422046825,-0.7882101062129114,-0.7680235658263922,-0.813208166588661,-0.9516912220938528,-0.403226654296657,-0.2248357078522671,-0.4269278554397966,0.0029673233895706,-1.605445371407017,-0.5193482178714588,-0.5008756204107753
2017-03-27,-0.4824093748807145,-0.2709225069126425,0.056275374686444,-0.1931873831826601,-0.2299764487723675,-1.2405024195153982,0.3066464532893255,-0.3606398471513014,-0.7110619347168405,-0.7601450690115213,-0.7273740152293562,-0.7811359080320959,-0.9479241804400836,-0.3291430847988136,-0.2403822955421706,-0.4106557569103181,0.0738684518885245,-1.5934937660763802,-0.2687525076304037,0.3845105947791133
2017-03-28,-0.3580810844053118,-0.3447970770776775,0.034271310895236,-0.1622309789695383,-0.2250209599921091,-1.2514054855286705,0.5137924291435572,-0.5699399172529462,-0.6602317396779784,-0.7351097099357137,-0.6656628593172321,-0.7518096479824584,-0.9480587462785032,-0.4501398542712038,-0.179671787281901,-0.4293966682890124,0.0206496748896183,-1.580601105132002,-0.3418860759698313,0.1962831274789732
2017-03-29,-0.9062215040355588,0.2394989710398795,0.109218337581704,-0.1354131675827901,-0.2184572632841084,-1.2107888127341562,0.64177398077455,-0.7201495052576082,-0.6754447788270559,-0.7700455385538023,-0.6959957001009798,-0.7691100379471193,-0.9503457007269748,-0.5803864644305353,-0.297063021091464,-0.5084028317200335,0.116331603041899,-1.5718573841999028,-0.7105867066127466,-0.0067040631371812
2017-03-30,-0.7786104784565208,-0.1710732380571974,0.1672420131805282,-0.0956669097548379,-0.2095680327601623,-1.1920607343086218,0.8025230999526006,-0.6873126185888792,-0.6594831279293778,-0.791714074885842,-0.6808637945933866,-0.7762585183287062,-0.9491346160230024,-0.6568641103414694,-0.3551703943901237,-0.5642613536770156,0.1886476634139963,-1.5621477602417326,-0.6215625975119112,-0.2909694471969862
2017-03-31,-0.2766573783076525,0.1385054481591537,0.1452176658165122,-0.07913307933936,-0.2006686572684165,-1.1502350450447636,0.7853776112299767,-0.675030781864028,-0.6381144922548255,-0.7870879428053003,-0.6548378628159561,-0.7684764600866468,-0.9475201714086678,-0.6859471587864725,-0.6501232747165676,-0.5470330498825356,0.1338599934437883,-1.5486387935842951,-0.4623425214013861,-0.1934606749944431
2017-04-03,-0.3308946089346379,-0.0163519440363287,-0.1800186093996086,-0.1683519909806369,-0.2006036926485682,-1.155803780549452,0.3433483710857533,-0.7188378372013831,-0.60571351803041,-0.788408609593256,-0.6157197092475855,-0.7687528170893004,-0.9449641933055576,-0.6530018638013987,-0.5893855523392889,-0.5372420299668323,-0.202054156744472,-1.5617372321940923,-0.444989599018616,-0.2730217614433929
2017-04-04,-0.9588979510473792,-0.7281866774267223,-0.105376793663602,-0.140831655908843,-0.198149702765978,-1.1455771560689805,0.462917493411461,-0.8070503497946876,-0.7670864716886451,-0.7926757896109885,-0.748837820036358,-0.7784834117943618,-0.9468476599442176,-0.7836431830149685,-0.7321874445577784,-0.5700068897792512,-0.1302020442467006,-1.553392225552867,-0.7411322601912332,-0.1260129588223388
2017-04-05,-0.2420232505863541,0.6771899781455346,-0.2578211464737483,-0.1929084594215301,-0.200503169616917,-1.1292755289883003,0.2081594975488613,-0.6954789776894259,-0.7938785696599929,-0.7866352299818908,-0.7502604159221633,-0.7698999409492683,-0.9407936682368386,-0.6392202467300476,-0.7241425328911388,-0.5703764405733553,-0.2742761132230043,-1.5671633420411637,-0.2349967171527449,-0.6685117466141415
