date,volume_scaled,log_return_scaled,price_ratio_20_scaled,price_to_sma_10_scaled,price_to_sma_20_scaled,price_to_sma_50_scaled,macd_scaled,bb_percent_scaled,momentum_5_scaled,parkinson_vol_5_scaled,parkinson_vol_10_scaled,parkinson_vol_20_scaled,gk_vol_10_scaled,gk_vol_20_scaled,avg_volume_10_scaled,avg_volume_20_scaled,volume_ratio_20_scaled,price_to_vwap_scaled,daily_range_scaled,close_to_low_scaled
2017-03-15,0.3185808371557014,0.5157898106813161,0.1448132284272331,0.0628265645735271,0.0651612673418846,0.6518513927847586,0.0168785308365094,0.4112958708204535,-0.0321377343063679,-0.9276016808460112,-1.0245439253777875,-1.0331643515535105,-1.0252679242656142,-1.0852642057772577,-0.1360935533918244,-0.0323273438657712,0.5880557893962607,0.2180630794426222,-0.438563768789189,0.1685698181258024
2017-03-16,-0.1353460860766253,0.0256126680148987,0.1256484114989318,0.0740366965766294,0.0607974662054291,0.6254094864328948,0.0122344741908346,0.4063714491579198,-0.0050550730283166,-1.068470368049329,-1.0724444576811298,-1.063092244337888,-1.0585477006343562,-1.128460890671338,-0.1866134563261447,-0.0924126985668918,-0.1148919471383589,0.1531880226328892,-0.9905957263898928,-0.5073065669402521
2017-03-17,1.597007924642987,-0.3398107903898079,0.0890305184429468,-0.0715688679745285,-0.0604531066008021,0.5225016502208311,0.0014431366310769,0.1678898806421392,-0.0621808878636453,-1.0268887693812323,-1.0818195822397003,-1.062798338017083,-1.0710051991270535,-1.1413411591277458,-0.0217349956376907,-0.0143311732711063,2.7588557290262887,-0.1447627301675569,-0.7908160334972283,-0.7273839830857851
2017-03-20,0.0269764614738676,0.5116718205685489,0.1634047366434542,0.1818852288037442,0.0920747248366031,0.5994113214195003,-2.6949716999654387e-05,0.5456209569162814,0.0072600230071151,-0.960056568426802,-1.075906000147419,-1.0495537786712352,-1.095795331377559,-1.132080099988379,-0.023240675507348,-0.0167366256052922,0.0552911771034872,0.2293145161797142,-0.701751534457049,0.0268171139346814
2017-03-21,1.2909772203844796,-0.7000813226810335,-0.0159826107138653,-0.1511492525217274,-0.1377632048619707,0.4246929601438187,-0.0141335105036487,-0.002119946155767,-0.0621825109405527,-0.5982383557481886,-0.8797078810581227,-0.945308357702824,-0.9505921194022716,-1.0436013067903809,0.136619093577099,0.0383325435211558,2.0857143177028226,-0.3208238953436059,0.3236062776975679,-0.7206113882133127
2017-03-22,0.3304142211416334,0.5551947696519928,0.0625940730749339,0.1180115531858319,0.0379674774448576,0.5147901821159298,-0.0173134176262292,0.4332904703159475,-0.0567671148387777,-0.5846115263752215,-0.8275326689859391,-0.9196377435821204,-0.9342890997026576,-1.0303926565557626,0.1883985556331519,0.0567466073893611,0.4477297412607495,0.1565323065219384,-0.3755174576384344,0.3175963155471178
2017-03-23,-0.0570447809963161,-0.2600182173255912,0.0692783958835265,-0.0278742051340178,-0.0550970223767154,0.4340290829136157,-0.0253290135945924,0.2336959572997858,-0.092713399108525,-0.5723845514761655,-0.8754474097699377,-0.925539178837555,-1.011285620579194,-1.030984180310729,0.175299140767133,0.0551267210948217,-0.1911105201232412,-0.0230899794469889,-0.8730935452537704,-0.5879204166356216
2017-03-24,0.0869585076163355,-0.1743545187334247,0.0411479304713261,-0.1143076330895777,-0.1169446956948121,0.3734738124848246,-0.0356212473395821,0.1088635138289151,-0.072028906999722,-0.5492867137157125,-0.8450792720209938,-0.926828962548084,-0.982694359960636,-1.0347404799496496,0.1954434001002218,0.0573958082555366,0.0439826092302073,-0.1855323085973454,-0.6344848298044842,-0.6008810289430869
2017-03-27,0.1698413841686327,0.0294338886585323,0.0385791602065471,-0.0999444448946802,-0.1116808138368039,0.3545862472913439,-0.0442216541140233,0.1806003522399949,-0.1326037602634253,-0.3866298154544432,-0.7149042298543108,-0.8686540456527128,-0.83177193172771,-0.9734975375692604,0.2399869121672868,0.0695576022347026,0.1621858403107225,-0.0734657223597044,0.0683755115044085,0.7319419586816902
2017-03-28,0.858461414138575,1.0671275881508318,0.2322711250894808,0.3869566258098803,0.2182468803352598,0.5489002504094502,-0.0340910374919332,1.1213929672198728,0.0909750837406242,-0.3272482103472066,-0.5263499819961414,-0.7610723507028159,-0.706940721217216,-0.903031994090399,0.3707617238080019,0.1058186414674579,1.215689210060206,0.5372694961466243,0.5101762814383587,1.3226992327801397
2017-03-29,0.5643976059180974,0.0580029516963406,0.058333748566561,0.376353748135724,0.2307537461230953,0.5317003387406751,-0.0261913826039007,0.8812102005312078,0.0289256651064839,-0.3775831441617518,-0.54891543505169,-0.8098599169383619,-0.7242416127994281,-0.938592459835024,0.3960846532312487,0.0793352051164066,0.7916671187860236,0.4399410956545884,-0.6999820474388604,-0.1863016359875455
2017-03-30,0.0034572594543221,-0.1374110057258152,0.1028063142692486,0.2729412610908464,0.1739405493060558,0.4736658500428576,-0.0234233906028282,0.643475564997146,0.0441907034212432,-0.3770310524927696,-0.5426995591920702,-0.8237115977876404,-0.715596010893092,-0.9478281375941544,0.4103835448011245,0.0609929895654065,-0.0991596147828238,0.21470580089035,-0.8675263633758717,-0.5137965611544909
2017-03-31,-0.1051512814521895,-0.1682035653696597,0.028470251796813,0.1455206940224225,0.1142263925342968,0.4097102377217512,-0.0252238482565211,0.4576206355822394,0.0446849303395679,-0.3886537004723669,-0.5379868857565381,-0.8241855064155291,-0.6876541033773009,-0.9363697384468862,0.2350348179421301,0.0556908770141012,-0.2715103189568059,-0.0459901000238077,-0.7212782295041034,-0.3688130371924675
2017-04-03,-0.082383963094458,-0.0492864664454884,0.0612583338576481,0.1085974726379558,0.0910062460964341,0.371422576993147,-0.0285815307679523,0.3811101076781897,0.0348336650496763,-0.5687512267194369,-0.5463780757325728,-0.8271846898994456,-0.6785505197515086,-0.9409936080503646,0.2237690026481506,0.0492234287464933,-0.2252056141866145,-0.2071654457709224,-0.8269385097469076,-0.3689420261156182
2017-04-04,-0.0890103770485755,0.3446368642314905,0.1201018571167152,0.2214502516184781,0.1929266126889545,0.4141812870750711,-0.0264688232469946,0.5206258448678309,-0.056269641766638,-0.9131993240725318,-0.659085741522014,-0.8134337201555958,-0.792657033934422,-0.94342754578892,0.0816089347622573,0.0581865063178406,-0.248081701086153,0.0848374254256916,-0.4669670919308774,0.2518827316708067
2017-04-05,0.4609538733427377,-0.3511602164838996,0.1060521083305059,0.021885672826737,0.0652364863219304,0.3125597097456501,-0.0318478029183896,0.2829116537077097,-0.1089612104907575,-0.8676849916100653,-0.6738387234746381,-0.7977431680081913,-0.763071053803205,-0.9193121451814648,0.0950565380981345,0.0912173038607381,0.6015534386234055,-0.1531856995356196,-0.5098540667392281,-0.6576025703593547
2017-04-06,-0.0006394524600473,-0.2027121141371793,0.1041462074759933,-0.1030770007548826,-0.0123970119124402,0.2464366816118406,-0.040516821130707,0.1559107787740034,-0.1173338527179437,-0.8613158740330811,-0.6709539320590625,-0.8180051549559261,-0.7643423545689769,-0.955588969305186,0.1008671594028169,0.087526279850845,-0.1424076749852018,-0.2543920123223922,-0.8285860103374508,-0.6572594962220769
2017-04-07,-0.315221955002925,-0.1876506602519762,0.0510042520074671,-0.2189285467244272,-0.0797270189219692,0.1845450370422795,-0.0514062073697645,0.0419698725822294,-0.1197976834634838,-0.8954228170688474,-0.6917779514434145,-0.8153995501998407,-0.7829609111704435,-0.9530922171718044,0.0594363509124474,0.076746832831785,-0.6423032116427748,-0.3459684883310595,-0.916520157667306,-0.7485743198388146
