date,return_lag_1_scaled,return_lag_2_scaled,price_ratio_20_scaled,price_to_sma_5_scaled,price_to_sma_10_scaled,price_to_sma_50_scaled,macd_scaled,macd_signal_scaled,bb_bandwidth_scaled,momentum_10_scaled,parkinson_vol_5_scaled,parkinson_vol_10_scaled,parkinson_vol_20_scaled,gk_vol_20_scaled,atr_14_scaled,volume_ratio_5_scaled,avg_volume_10_scaled,avg_volume_20_scaled,volume_ratio_20_scaled,close_to_low_scaled
2017-03-15,1.1671745726953628,0.2225265764412055,-0.5041707299388637,0.4440962827866711,0.2390536479971913,-0.0164623215662352,-0.0789633039691532,-0.073646533741641,-0.2365989036539441,-0.0142480892971373,-0.6620501347691714,-0.9450092337020068,-0.796791634827011,-0.9228332713411316,-0.6452762132466623,0.6636714250997304,-0.8031028335787705,-0.3765240156546917,-0.0711685455426901,-0.5362762945831379
2017-03-16,-0.2643449424076944,1.1680722229527312,-0.3829901966420246,0.6802754931536522,0.5175382723773368,0.091776031115684,-0.0667457223611205,-0.073041114197057,-0.3543377790387625,0.0125127258245916,-0.6417780162886617,-0.9188893768623136,-0.7867795971415302,-0.9074138699903268,-0.6444593560454276,1.3248318837515756,-0.7032802507658196,-0.3450431253463467,0.6881905043275071,-0.2816105333669871
2017-03-17,0.5890634600081168,-0.264548244733788,-0.2205445047882005,0.3286931416117115,0.431800667608639,0.0664290560858186,-0.0577431892080836,-0.0706446959916518,-0.3896188423349085,0.0050233036763261,-0.6348129780122466,-0.9074058965828016,-0.8574754424122885,-0.9654522838237556,-0.6489624628752382,0.4456645020545228,-0.6087994594307704,-0.3533994043376842,0.4191795188050785,-0.7379844800071039
2017-03-20,-0.0914501015736134,0.5895164967507366,-0.26695523719401,0.1000975701666644,0.3945818820358265,0.0602800886027436,-0.0502843656189953,-0.0671433532569157,-0.4540089988583349,0.0085853586644312,-0.6013045757934201,-0.8873986251375068,-0.8855867587445512,-0.9771180645994496,-0.6495305354772063,-1.208008201339713,-0.6019657687017492,-0.3914883559042703,-0.8363213001321755,-0.2624821468362764
2017-03-21,0.0036654243657721,-0.0915204339892899,-0.5334917075434329,-0.7047407898157736,-0.2211347143962679,-0.1722565312774923,-0.0570757432623102,-0.0657847258333367,-0.6128021785968366,-0.0307797716354697,-0.4624413664597077,-0.6401273945322257,-0.768787165624338,-0.919374246388984,-0.645873315266131,0.6886635130143239,-0.5108912606126187,-0.3737337852084638,0.6404237793940147,-0.7112061857885789
2017-03-22,-1.1632879347184677,0.0036682433692034,-0.4027680376370634,-0.3361094675764719,-0.0323489768865856,-0.0955884299388533,-0.057654141141366,-0.0648206720400027,-0.772371793474688,-0.0031510134669013,-0.5164097140076547,-0.6436824483836384,-0.8237473490735766,-0.9828884576205597,-0.6460599007497637,-0.8089072869292065,-0.5020692510586543,-0.4414098446421017,-0.575529169542345,0.0003701727505822
2017-03-23,0.402023607606484,-1.1641825958415093,-0.1157257690329998,-0.23609784138383,-0.0975650643545371,-0.1100568431922277,-0.0584250204522529,-0.0642131590209502,-0.7754858437986922,0.0047949182411499,-0.5724540344727096,-0.6637807016280639,-0.86804419332264,-0.9980265937743454,-0.6454503660251293,-0.9382663880211448,-0.5168324523206163,-0.6085210121215048,-0.7459301211825368,-0.5318538626203742
2017-03-24,-0.0606862084980268,0.4023327957975896,0.0152005968664571,0.430755938435769,0.2431977754136337,0.0423631061685978,-0.0497710491993356,-0.0618890984357808,-0.7361351010396104,0.0485900465759954,-0.4314024995942953,-0.5835815449866673,-0.8599089232593736,-1.016640815800554,-0.6434102753674565,0.7794394249379989,-0.4486803821057643,-0.644902100527564,0.5539889338770263,0.6149465170912038
2017-03-27,0.7930798884061401,-0.0607328810283846,0.3503692799931996,0.8719686448500551,0.4843653139560448,0.1649663567904583,-0.035298267012548,-0.0569559202098155,-0.6476140762243139,0.0695057362895572,-0.2671265369881527,-0.4751388665350308,-0.8129379267765371,-1.0145774959165934,-0.641233365636619,0.7516279053687576,-0.3639669099386631,-0.7202786771482865,1.0558087406874042,0.9815326834855452
2017-03-28,0.6419672200179098,0.7936898300400616,0.407014212883479,1.0041342427938629,0.7553350375785909,0.2905276872353908,-0.0162426253099454,-0.0489620767487986,-0.4917047335474784,0.0484987185329818,-0.6835880471260382,-0.624347683852991,-0.8318883132393677,-1.013173942707612,-0.6388657064149796,1.6632396325543903,-0.3536899685486513,-0.6927582998906824,1.9657797464922644,-0.3972048535971007
2017-03-29,0.6401724250268823,0.6424609439678245,0.4051293576456446,0.6259416704160606,0.6329624399005492,0.2714763756699394,-0.0019248367168715,-0.0395259919064178,-0.382596799692407,0.0585454565409171,-0.7030169128564735,-0.6637255309512995,-0.8463186236197396,-1.0210910010253604,-0.6395291478307147,-0.9253466571641658,-0.3973801721044414,-0.7090918131381517,-0.4162355768754189,-0.4951866744607845
2017-03-30,-0.0440013597429072,0.6406647686364235,0.405668978902613,0.2954988505725505,0.5748884216302338,0.2653931503397048,0.0091955799688464,-0.0296152160504458,-0.2973748196857024,0.0321498229359601,-0.702857075143551,-0.6944150244130981,-0.8513531256818698,-1.0286438847031274,-0.6389942449268795,-0.7107406771621797,-0.476168295741433,-0.6976109372421541,-0.1690396997382071,-0.6759501480404954
2017-03-31,0.0123927852362229,-0.0440352002949735,0.3906266482112847,0.0873474747763095,0.5043877214369135,0.258331623233176,0.0175064371224807,-0.019921420516222,-0.2291732875702304,0.0363969035743104,-0.8972175099105876,-0.7031422159786114,-0.8507802524675735,-1.0272139887292984,-0.6392886556559814,-1.0383890656014505,-0.5607418198371902,-0.6922034245178529,-0.6545113963415851,-0.4737683279837032
2017-04-03,-0.0024547504307384,0.0124023162756381,0.7651034628364112,1.1841129730453714,1.3297733223302757,0.6279413838089953,0.0455661431813334,-0.006206675420733,0.0148010258149479,0.1268181989221463,-0.7471221753488319,-0.5405034586991503,-0.751281623632699,-0.9468356475641412,-0.6357226639780404,3.7787320133401896,-0.2894458822128378,-0.5403967286853993,4.489998065480585,1.3625207179479577
2017-04-04,1.7626276400551355,-0.0024566383294362,0.9173201001517004,1.1559883790583891,1.2964754959260845,0.7036841615815407,0.0720674875593723,0.0103938429051037,0.2234513530784678,0.2018040097583822,-0.615966197036882,-0.7081942524717474,-0.7211379350030451,-0.9164758264609708,-0.6342506459223359,1.5839542780879878,-0.2042623957683928,-0.4441928689146566,2.302043327931572,0.5787186251823117
2017-04-05,0.4040237304549559,1.7639832411723584,0.7953648704520542,0.2455345853794995,0.6588298629980475,0.5181753143804568,0.0816233933016736,0.0257038730636898,0.2805176724970888,0.1422994127828952,-0.4513630941903537,-0.6273883668765367,-0.6822747327920884,-0.8833092960422775,-0.6339769721862014,0.1251440276424664,-0.1033519147404663,-0.3842994770479765,1.103715266247939,-0.6690066094517073
2017-04-06,-0.7835106090356343,0.4043344568999197,0.9081539349557016,0.2081428721879133,0.614128800002639,0.5700529702505718,0.0915720394391469,0.0400649283284153,0.3162685082840461,0.160246745115583,-0.3936240308173483,-0.5945322350182622,-0.6754130687054432,-0.8676294002404096,-0.6324386147342307,-0.9465021259877288,-0.0452497003658981,-0.3606444913486282,-0.0081763366322633,-0.1016100007551384
2017-04-07,0.2823870341355465,-0.7841131911311536,1.007681129203887,0.1320040187637539,0.5998917849010359,0.6217181620635104,0.1018705599977189,0.0537411148492313,0.330702651512415,0.1395135808327655,-0.3660933787997786,-0.6636410531749347,-0.6696455814778633,-0.8675986439078619,-0.6325173986989309,-1.386158493733982,-0.0734426354175826,-0.3388342861095958,-0.4575703156195841,0.0080786349853398
2017-04-10,0.2903274527934996,0.282604212267935,1.1331787066969183,0.6283818789124043,0.8522527392140233,0.7831847284122103,0.1190037595171737,0.0683210500721661,0.3941016147048832,0.1522548227478166,-0.7064661995926002,-0.7886270347905254,-0.6703282475970452,-0.8728611576926767,-0.6339147730705676,0.3556342888440857,-0.0355853618542221,-0.2719336109631843,0.7870007884923385,-0.2649762227038471
2017-04-11,0.7847919996372379,0.2905507377406,0.8026166660462192,0.2974964146790879,0.5287394109618269,0.6875719605310467,0.1262629384560372,0.0815268031273921,0.452185134742943,0.1024317822634929,-0.8002548627920328,-0.7659915868004741,-0.7411204095569615,-0.8794786890522447,-0.6325008138498642,-0.1697227770435663,-0.0953405477884375,-0.2989394674205285,-0.0058687286758151,-0.3270281436774574
2017-04-12,-0.3416692053276068,0.7853955672242426,0.6392993367599882,-0.5607625087748979,-0.1076471342770947,0.4438582947250282,0.1166031692739786,0.0900397301190394,0.4112263010507223,0.0485443172268468,-0.7377695953108331,-0.6437118638107164,-0.7007366355722618,-0.8671639035415672,-0.6291753024833882,0.200307323936822,-0.0326411712967033,-0.2885640185659858,0.1205311616479958,-0.7113585546637221
2017-04-13,-1.0438699574351291,-0.3419319761737784,0.6362359505737787,-0.1329696776736165,0.0990498314365013,0.5555975614366307,0.1149426816332688,0.0964973943690923,0.4137294293998771,0.0787761206042339,-0.5817008566249832,-0.5368920969826869,-0.660030680339614,-0.8330501457861712,-0.6279396481850525,1.4249273509762608,0.1029817124838168,-0.2575428821379852,1.4488115981298275,0.5052600083490781
2017-04-17,0.5742130993200736,-1.044672776617342,0.6027025610151336,-0.2965824205026603,-0.1218297413530428,0.4864805158434959,0.1087682109950732,0.1003521062515437,0.3840922569716733,0.0653499836942207,-0.5864569100914471,-0.5239551329174302,-0.6572887156507256,-0.8249189186478467,-0.6302202310174584,-1.1061257958289987,0.1252704232425757,-0.2915387270582453,-0.7022795934601672,-0.3826514273727233
