date,high_scaled,volume_scaled,return_lag_5_scaled,price_ratio_20_scaled,price_to_sma_5_scaled,price_to_sma_20_scaled,price_to_sma_50_scaled,rsi_14_scaled,macd_scaled,bb_bandwidth_scaled,momentum_5_scaled,momentum_10_scaled,parkinson_vol_10_scaled,parkinson_vol_20_scaled,gk_vol_10_scaled,atr_14_scaled,avg_volume_5_scaled,volume_ratio_20_scaled,price_to_vwap_scaled,daily_range_scaled
2017-03-15,-0.7049328222279012,-0.2511782625684222,0.0807658561585146,0.1079615863290624,0.1154892676721964,0.134411343395648,0.083180215385192,0.4804260949922314,-0.0998741890304622,-0.9331717478062024,0.0521974401098969,-0.0618161965830971,-1.3118025650422096,-1.4088988220375862,-1.2793129012552322,-0.9793963942443552,-0.5189373390075026,0.406696543233724,0.1230170297194701,-0.7351774701483833
2017-03-16,-0.7031637932006685,-0.5670874870762836,0.1875153313986514,0.1665539053318996,0.072202999945144,0.1331353606582108,0.0879122243200375,0.7026483847515235,-0.0900937541829128,-0.9263857067377744,0.0209032940717863,0.0157709672866939,-1.3406691828623942,-1.41145253612427,-1.2819814480199718,-0.9841679953871744,-0.5971219263242072,-0.0646598859133088,0.0761234930075427,-1.0535112766372432
2017-03-17,-0.7020949048343157,0.4893550071404614,0.1469399872825866,0.1313042238034853,0.0808858662854826,0.152444537212644,0.1028566010629004,0.7144837766671175,-0.0801553114468416,-0.89439805445531,0.0064052942759835,0.044397955335203,-1.3429854816513018,-1.4094493463685156,-1.2862094120000758,-0.9868635355964516,-0.4261895863723492,1.4721271101550146,0.0542584919893727,-0.974750358534508
2017-03-20,-0.7046452975315909,0.0383129838829586,0.1211764947930659,0.013111863376451,-0.184002777636576,0.0237544198847074,0.0218549984314987,0.7312758492529378,-0.0833874685189809,-0.884240644706648,-0.085783235411502,0.0202379372376014,-1.36934738401669,-1.418654563069137,-1.3211423379097909,-0.9877509541074456,-0.3054406924736886,0.7706006465417996,-0.2130650808639539,-1.0075329685715808
2017-03-21,-0.7026886978833313,1.4156440073721372,0.0064140591831626,-0.2561018762501844,-0.9417711887593828,-0.3893541182123444,-0.242524449040642,-0.4689554936814094,-0.1225887535877016,-0.8866655816443053,-0.316556678640045,-0.1771449842714064,-0.9550966109189388,-1.1813466276257654,-1.0323829255318036,-0.966470749401664,0.169164185222245,2.619235893715802,-0.883828530362766,0.9008921229836356
2017-03-22,-0.7140153873020362,-0.2044281233899383,0.0774719754341322,-0.2878710546236748,-0.7694164544530053,-0.395442557572458,-0.2540328844900527,-0.2252641669688994,-0.1558858643801041,-0.8828834896918721,-0.3506269781601817,-0.2029452726143855,-0.9332913774541706,-1.1746719145249669,-1.0008189788226949,-0.9659350774592672,0.180030299742412,0.247840003574092,-0.7422816532709959,-0.743441893206728
2017-03-23,-0.7225542399416143,2.4525842245943075,0.0233413545385461,-0.4158207958713867,-0.987835750899706,-0.617933568704377,-0.4046471165710825,-0.5572285345709672,-0.2031104679835615,-0.8348449844534587,-0.4927166578490594,-0.3337760849018447,-0.925162346876392,-1.1833311284906487,-0.980398237741869,-0.9480368139107028,0.8818912825953297,3.659767215369822,-0.8906972188192714,-0.697543429633341
2017-03-24,-0.7211102469200465,0.8177124935597534,0.0699811393947277,-0.4336939497001242,-0.8400737874262675,-0.7082426753377945,-0.4713145039210292,-0.6342627783719357,-0.2498238038055493,-0.7709286609891673,-0.5758425454106666,-0.4074404675400533,-0.8227863966465317,-1.1163911197382188,-0.8635649347911176,-0.9363334643437904,0.958211270378988,1.3487225628931725,-0.7696763061751537,-0.0943975213618567
2017-03-27,-0.7227480253942596,0.5810572032213336,-0.3515420516498331,-0.4135654251790528,-0.3524168365379425,-0.617262939345447,-0.4252121781664534,-0.6550814802169673,-0.2803967296440059,-0.730351776502097,-0.4812389199825487,-0.4056181006833175,-0.6892363794454769,-1.0391635338677243,-0.7297869966810807,-0.9208127099167523,1.084361073269921,0.9304042590395608,-0.3470847348512922,0.1255553103781486
2017-03-28,-0.720235169675258,0.0065007589981915,-1.1875733790731344,-0.3240927907756519,-0.1382422095169762,-0.5630787614518168,-0.3973821176408122,-0.6703998495792334,-0.3003878976453813,-0.7140192574831061,-0.2409211149166022,-0.398416179704142,-0.6311140360346488,-1.00244000511037,-0.6466348800165751,-0.908506570076399,0.7568345208099756,0.1845585180513892,-0.1073963797311153,-0.2700091764866524
