date,return_lag_5_scaled,return_lag_10_scaled,price_to_sma_20_scaled,price_to_sma_50_scaled,macd_scaled,momentum_5_scaled,momentum_10_scaled,parkinson_vol_5_scaled,parkinson_vol_10_scaled,parkinson_vol_20_scaled,gk_vol_10_scaled,gk_vol_20_scaled,atr_14_scaled,avg_volume_10_scaled,volume_ratio_20_scaled,obv_scaled,obv_ema_scaled,daily_range_scaled,close_to_high_scaled,close_to_low_scaled
2017-03-15,0.1948292097112201,0.3969380826713451,-0.1706722857430692,0.0345331894711768,-0.1537038101276593,-0.0779543574599698,-0.1477261380796656,-1.212982083510591,-1.267371960350517,-1.092242718118908,-1.207809949494177,-0.9972799361995618,-1.1816822692744111,-0.6270826347215298,0.1518686937028562,-1.957083191999282,-1.9791116673276603,-0.7836245885627641,-0.5080715804539996,-0.2229471330553414
2017-03-16,0.0836883529871927,-0.2880084490030856,-0.1726108680459818,0.0135856070669883,-0.1587888892042404,-0.0958492008626074,-0.1209719106236675,-1.2320470810134745,-1.2926975299375512,-1.11532131817118,-1.2292619004350709,-1.0050109828332516,-1.1950391568606893,-0.6438522113070808,-0.5659850045324482,-1.945636357081291,-1.9757091507273403,-0.965150188526766,-0.4518696433133057,-0.5018362690816282
2017-03-17,-0.0853387861557891,0.0,-0.206095735599306,-0.0263335127420723,-0.1655206047827924,-0.1008249117212589,-0.1330169681428708,-1.2673790272821075,-1.3113474402063212,-1.121979160913775,-1.2481583721610217,-1.012200832677677,-1.2086645560290368,-0.5603341647717952,1.051633677793278,-1.966664782471536,-1.9767790767854685,-1.1025066556071523,-0.5042068604308481,-0.6181621555111124
2017-03-20,0.0628640440870343,-0.2381882851342729,-0.1166331278768106,0.0138350705848781,-0.1660702761646397,-0.0787395753829185,-0.0870957109999118,-1.218259379984398,-1.3192353116085154,-1.1212974904202777,-1.2814690357785743,-1.017231519631681,-1.2160849652600982,-0.5792968640370991,-0.0829586829888683,-1.95248159294361,-1.9750551691135407,-0.8281352301754171,-0.5695269143141689,-0.2161003763990484
2017-03-21,-0.1696612029548043,-0.0876683294219742,-0.4053233133786007,-0.1774751209312177,-0.1853920993000304,-0.1809610960816359,-0.163419218191249,-0.7558476076614256,-1.0269553929401791,-1.0233267125222114,-1.0496951774908598,-0.9437285467900648,-1.1995478868839398,-0.4557355221353492,2.1114775930863456,-1.9797140375845823,-1.9786354905903143,0.3115367606269023,1.1787016723656754,-0.5955626117494099
2017-03-22,-0.0309022753583337,0.1973152751156163,-0.2899557586225163,-0.1278803953362242,-0.1953229619774006,-0.142376859314789,-0.161219005945875,-0.711067556376025,-0.9900066475162684,-1.0050147583684257,-1.0278271534760215,-0.9349829234232772,-1.195618667399661,-0.4341977843674331,0.2736551592411618,-1.9631946324950404,-1.9785373930510244,-0.5477823017837657,-0.5233326763047319,0.0818344733926261
2017-03-23,-0.0303559122596336,0.0854730936936151,-0.2996595793375033,-0.1502186459288959,-0.2048837618588842,-0.1522417005995361,-0.1796340755441552,-0.7009665540311553,-0.9897539445422724,-1.0386824194863078,-1.0254735577121918,-0.9720413044382386,-1.1950957707484744,-0.4397066307820103,-0.4152714368782378,-1.975329284069071,-1.9806810050242176,-0.8780981864318221,-0.3157242622586779,-0.5311563969031868
2017-03-24,-0.1169911149256317,-0.0846206460749417,-0.3390895703398785,-0.185318700902947,-0.2154427532670453,-0.1580032953844636,-0.1867569313312877,-0.6549908386950348,-0.9702356904213504,-1.0379940704991104,-1.006621065173498,-0.9814262482327534,-1.195788293391064,-0.4569564954478238,-0.1385481091866475,-1.9886152674079087,-1.9848697433602165,-0.7097015018596288,-0.0631707569184958,-0.5780690629034133
2017-03-27,0.2029325737661856,0.0645173785529401,-0.3104134995737034,-0.1783447324343437,-0.2228439160164345,-0.1881192998440206,-0.1920842725470942,-0.4826207163101655,-0.8394815766373608,-1.0056128335472354,-0.8549413221250015,-0.9484521728421412,-1.1786999575018384,-0.4079960442779317,0.5564677271446308,-1.971492547076258,-1.985158874036094,-0.0380291272362781,-0.3183286322999542,0.5000291002095233
2017-03-28,-0.8226382560151655,-0.1694751569682182,-0.1201623040975509,-0.0699764207101,-0.2174714397620049,0.0122211610569206,-0.1269946602881131,-0.7754462996131438,-0.8257132953028814,-1.0258211284518235,-0.8435613987932238,-0.9692314108094332,-1.1722123294695317,-0.3552800875165894,0.8619084739904854,-1.952594054384209,-1.98193197726451,-0.7077523682431593,-0.4169604787235773,-0.2211366387611475
